,Type,Selection,Count,BAR1,BAR2,Address,Size,Mask,Data
2,0x8086,0x3ea9,3,Intel(R) UHD Graphics 620 (Coffee Lake)
2,0x8086,0x5902,3,Intel(R) HD Graphics 610 (Kaby Lake)
2,0x8086,0x5906,3,Intel(R) HD Graphics 610 (Kaby Lake)
2,0x8086,0x590b,3,Intel(R) HD Graphics 610 (Kaby Lake)
2,0x8086,0x5912,3,Intel(R) HD Graphics 630 (Kaby Lake)
2,0x8086,0x5916,3,Intel(R) HD Graphics 620 (Kaby Lake)
2,0x8086,0x5917,3,Intel(R) UHD Graphics 620 (Kaby Lake)
2,0x8086,0x591a,3,Intel(R) HD Graphics P630 (Kaby Lake)
2,0x8086,0x591b,3,Intel(R) HD Graphics 630 (Kaby Lake)
2,0x8086,0x591c,3,Intel(R) UHD Graphics 615 (Amber Lake)
2,0x8086,0x591d,3,Intel(R) HD Graphics P630 (Kaby Lake)
2,0x8086,0x591e,3,Intel(R) HD Graphics 615 (Kaby Lake)
2,0x8086,0x5921,3,Intel(R) HD Graphics 620 (Kaby Lake)
2,0x8086,0x5923,3,Intel(R) HD Graphics 635 (Kaby Lake)
2,0x8086,0x5926,3,Intel(R) Iris(R) Plus Graphics 640 (Kaby Lake)
2,0x8086,0x5927,3,Intel(R) Iris(R) Plus Graphics 650 (Kaby Lake)
2,0x8086,0x5a84,3,Intel(R) HD Graphics (Goldmont)
2,0x8086,0x5a85,3,Intel(R) HD Graphics (Goldmont)
2,0x8086,0x87c0,3,Intel(R) UHD Graphics 617 (Amber Lake)
2,0x8086,0x87ca,3,Intel(R) UHD Graphics (Amber Lake)
2,0x8086,0x8a51,3,Intel(R) Iris(R) Plus Graphics (Ice Lake)
2,0x8086,0x8a52,3,Intel(R) Iris(R) Plus Graphics (Ice Lake)
2,0x8086,0x8a53,3,Intel(R) Iris(R) Plus Graphics (Ice Lake)
2,0x8086,0x8a56,3,Intel(R) UHD Graphics (Ice Lake)
2,0x8086,0x8a58,3,Intel(R) UHD Graphics (Ice Lake)
2,0x8086,0x8a5a,3,Intel(R) Iris(R) Plus Graphics (Ice Lake)
2,0x8086,0x8a5c,3,Intel(R) Iris(R) Plus Graphics (Ice Lake)
2,0x8086,0x9840,3,Intel(R) UHD Graphics (Lakefield)
2,0x8086,0x9841,3,Intel(R) UHD Graphics (Lakefield)
2,0x8086,0x9b21,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9b41,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9ba8,3,Intel(R) UHD Graphics 610 (Comet Lake)
2,0x8086,0x9baa,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9bac,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9bc4,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9bc5,3,Intel(R) UHD Graphics 630 (Comet Lake)
2,0x8086,0x9bc6,3,Intel(R) UHD Graphics P630 (Comet Lake)
2,0x8086,0x9bc8,3,Intel(R) UHD Graphics 630 (Comet Lake)
2,0x8086,0x9bca,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9bcc,3,Intel(R) UHD Graphics (Comet Lake)
2,0x8086,0x9be6,3,Intel(R) UHD Graphics P630 (Comet Lake)
2,0x8086,0x9bf6,3,Intel(R) UHD Graphics P630 (Comet Lake)
